Scene number,Start,End,Keywords,Description
0,00:00:00.000,00:27:10.840,"Nam Bộ,vị thần,Tây Nam Bộ,đình làng,lễ Kỳ Yên,yếu tố tâm linh,lễ hội nông nghiệp,,Thành Hoàng Bổn Cảnh,Thành Hoàng,Tiền Hiền,đất Tây Nam Bộ,miền Trung,phương Nam,Hoàng,hệ thống nghi thức cúng tế đặc trưng của lễ hội đình làng Nam Bộ,Thổ Công,Thanh quan vị thần coi,nhân thần,Thoại Ngọc Hầu , Lê Văn Duyệt , Nguyễn Trung Trực,đời sống sinh hoạt,tỉnh thành khu vực đồng bằng sông Cửu Long,Vô Cương , Thánh Cung , Vạn Tuế,Việt Nam phong tục chém tục thờ Thần,bà con Tum,nhận thức Thần Thành Hoàng đại diện,nhiều Định Thần,thần Thanh Quang,dịp lễ Kỳ Yên Giang,nhiều nơi như Nguyễn Hữu Cảnh", 
1,00:00:00.000,00:00:10.000, ,u
2,00:00:10.000,00:00:44.920,"cánh đồng lúa vàng trù phú,sông Cửu Long",Anh Đức
3,00:00:44.920,00:00:53.800,"sông Cửu Long,đồng bằng châu thổ,vùng đất nặng phù sa",ông
4,00:00:53.800,00:01:18.600,"thần giúp dân đánh giặc,thổ công,thần làng,thần núi,thần biển ,thế lực siêu nhiên,Thần rừng,Thần khai phá",dạ
5,00:01:18.600,00:01:34.320, ,"đất phương Nam, vùng đất nặng phù sa của chín nhánh sông Cử Long bồi đắp nên những nhà vườn cây tránh xum xuê, những cánh đồng lúa vàng trù phú yên vui và nguồn tôm cá dạt dào trong mạch sống đồng bằng châu thổ, nơi thấm đẫm huyền thoại ba trăm năm khẩn hoang mở đất và những người anh hùng đánh giặc, giữ nước, khí phách hiên ngang cùng những người dân hồn hậu, chất phác, trọng nghĩa, khinh tài làm nên một truyền thống văn hóa, văn minh sông nước mang đậm ngân sách đất và người phương Nam."
6,00:01:34.320,00:01:45.200, ,"đất có Thổ Công, sông có Hà Bá."
7,00:01:45.200,00:01:58.880,"cánh đồng lúa vàng trù phú,sông Cửu Long,đồng ruộng,hình ảnh con trâu","đất có Thổ Công, sông có Hà Bá."
8,00:01:58.880,00:02:04.360,"cánh đồng lúa vàng trù phú,sông Cửu Long,đồng ruộng,hình ảnh con trâu","đất có Thổ Công, sông có Hà Bá."
9,00:02:04.360,00:02:10.280,"cánh đồng lúa vàng trù phú,sông Cửu Long,đồng ruộng,hình ảnh con trâu","đất có Thổ Công, sông có Hà Bá."
10,00:02:10.280,00:02:18.400,"cánh đồng lúa vàng trù phú,sông Cửu Long,đồng ruộng,hình ảnh con trâu","đất có Thổ Công, sông có Hà Bá."
11,00:02:18.400,00:02:33.200,"cánh đồng lúa vàng trù phú,sông Cửu Long,đồng ruộng,hình ảnh con trâu","đất có Thổ Công, sông có Hà Bá."
12,00:02:33.200,00:02:49.400,"đường làng,cổng làng,thôn ấp","Kể từ khi biết trồng lúa, người Việt Nam đã nhận thức được tầm quan trọng sống còn của hai yếu tố đất và nước, nên đã nhân cách quá và thiên hóa thành Thần."
13,00:02:49.400,00:03:00.840,"đường làng,cổng làng,thôn ấp","Rồi dần dà, khi môi trường sống được mở rộng ra gần, ta lại có thêm mưa tiếp."
14,00:03:00.840,00:03:11.560,"miếu thành hoàng,Thần ủng hộ,vị thần làng,miếu Thần,chư thần,thần Sơn Xuyên,Việt Nam phong tục thờ Thần","Các Thần núi, Thần rừng, Thần cây, Thần biển, Thần khai phá và bảo vệ xóm làng, Thần giúp dân đánh giặc, giữ nước, nhân dân, sau cùng phát triển lên thành tín ngưỡng thờ tất cả những thế lực siêu nhiên linh thiêng có ảnh hưởng đến cuộc sống bình yên của cộng đồng, ban đầu là do dân tự nguyện tôn các đối tượng này làm những thần là bảo hộ cho một vùng đất cụ thể nào đó."
15,00:03:11.560,00:03:20.360,"miếu thành hoàng,Thần ủng hộ,vị thần làng,miếu Thần,chư thần,thần Sơn Xuyên,Việt Nam phong tục thờ Thần",Vì sao nhà nước phong kiến nhận thấy vai trò quá lớn của các thần làng trong đời sống tâm linh dân chúng?
