Scene number,Start,End,Keywords,Description
0,00:00:00.000,00:26:55.000,"đất Mỹ Tho,Nam Bộ,phương Nam,Sài Gòn Gia Định,xứ Đàng,Nam Kỳ,Nguyễn,thứ hai,xứ Đàng Trong,Vương Ngạn Định,Mạc Cửu,sông Tiền,sông Hậu,Trịnh,lúa gạo,đồng bằng sông Cửu Long,lưu vực sông Tiền,ghe thuyền,dòng họ Mạc,Phú Quốc Ý Chị,Trấn Biên phiên trấn tín dụng đất,Nguyễn Vũ Thu đồng ý xác nhận,Cố Thủ Tướng Võ Văn Kiệt,vua Chân Lạp chết ta,lượt vùng đất Trà Giang,Cù Lao Phố đệ nhất thương cảng,Chúa ưng thuận bàn thiết đại yến tiệc,thương cảng Bến Nghé nức tiếng phồn hoa,Phươngđiền nô,Nhật Bản , Tây Dương , Đồ Bà", 
1,00:00:00.000,00:00:10.000, ,"đất phương Nam, vùng đất nặng phù sa của chín nhánh sông Cử Long bồi đắp nên những nhà vườn cây tránh xum xuê, những cánh đồng lúa vàng trù phú yên vui và nguồn tôm cá dạt dào trong mạch sống đồng bằng châu thổ, nơi thấm đẫm huyền thoại ba trăm năm khẩn hoang mở đất và những người anh hùng đánh giặc, giữ nước, khí phách hiên ngang cùng những người dân hồn hậu, chất phác, trọng nghĩa, khinh tài làm nên một truyền thống văn hóa, văn minh sông nước mang đậm ngân sách đất và người phương Nam."
2,00:00:10.000,00:00:44.920,"sông Cửu Long,vùng đất nặng phù sa,cánh đồng lúa vàng trù phú","đất phương Nam, vùng đất nặng phù sa của chín nhánh sông Cử Long bồi đắp nên những nhà vườn cây tránh xum xuê, những cánh đồng lúa vàng trù phú yên vui và nguồn tôm cá dạt dào trong mạch sống đồng bằng châu thổ, nơi thấm đẫm huyền thoại ba trăm năm khẩn hoang mở đất và những người anh hùng đánh giặc, giữ nước, khí phách hiên ngang cùng những người dân hồn hậu, chất phác, trọng nghĩa, khinh tài làm nên một truyền thống văn hóa, văn minh sông nước mang đậm ngân sách đất và người phương Nam."
3,00:00:44.920,00:00:53.800,"sông Cửu Long,đồng bằng châu thổ,vùng đất nặng phù sa","đất phương Nam, vùng đất nặng phù sa của chín nhánh sông Cử Long bồi đắp nên những nhà vườn cây tránh xum xuê, những cánh đồng lúa vàng trù phú yên vui và nguồn tôm cá dạt dào trong mạch sống đồng bằng châu thổ, nơi thấm đẫm huyền thoại ba trăm năm khẩn hoang mở đất và những người anh hùng đánh giặc, giữ nước, khí phách hiên ngang cùng những người dân hồn hậu, chất phác, trọng nghĩa, khinh tài làm nên một truyền thống văn hóa, văn minh sông nước mang đậm ngân sách đất và người phương Nam."
4,00:00:53.800,00:01:18.600,"xứ Đàng Trong,vùng đất miền Trung,đồng bằng sông Cửu Long,Chăm Pa","chính đời chú Nguyễn trước khi vươn dài quyền lực đến Nam Bộ đã có một quá trình lập quốc đầy gian nan, trắc trở trên vùng đất miền Trung khắc nghiệt."
5,00:01:18.600,00:01:34.520, ,"chính đời chú Nguyễn trước khi vươn dài quyền lực đến Nam Bộ đã có một quá trình lập quốc đầy gian nan, trắc trở trên vùng đất miền Trung khắc nghiệt."
6,00:01:34.520,00:01:44.440,"xứ Đàng Trong,vùng đất miền Trung,đồng bằng sông Cửu Long,Chăm Pa","chính đời chú Nguyễn trước khi vươn dài quyền lực đến Nam Bộ đã có một quá trình lập quốc đầy gian nan, trắc trở trên vùng đất miền Trung khắc nghiệt."
7,00:01:44.440,00:03:30.800,"phương Nam,người Việt,đàng Trong,bờ cõi","Học giả Li ta na khi nghiên cứu về xứ Đàng Trong đã viết: Chính quyền nhà Nguyễn cai trị vùng đất từng thuộc Chăm Pa, một vương quốc Ấn Quá, có những truyền thống khác hẳn so với người Việt."
8,00:03:30.800,00:04:22.280,"phương Nam,người Việt,đàng Trong,bờ cõi","Vậy mà họ Nguyễn đã không chỉ tồn tại được và đẩy lui 7 lần tấn công của họ Trịnh, mà còn có thể mở rộng biên giới của mình sâu xuống phía Nam, đến tận đồng bằng sông Cửu Long, kiểm soát ba phần năm lãnh thổ, tạo thành nước Việt Nam ngày nay chỉ trong khoảng thời gian hai trăm năm."
9,00:04:22.280,00:04:31.000,"bản địa xứ Đàng Trong,cánh đồng lúa vàng trù phú",Nó không chỉ chấm dứt cuộc chiến tranh triền miên giữa người Việt và người Chiêm Thành kéo dài hàng thiên niên kỷ mà còn tạo ra động lực cho quá trình mở mang bờ cõi về phương Nam của dân tộc.
10,00:04:31.000,00:04:36.760,"bản địa xứ Đàng Trong,cánh đồng lúa vàng trù phú","với chính sách ngoại thương cởi mở và quá trình địa phương hóa, tiếp thu, hội nhập, những yếu tố tích cực của các tộc người bản địa xứ Đàng Trong của các chúa Nguyễn chỉ trong vòng ít thập niên đã trở nên giàu có và hùng mạnh."
