Scene number,Start,End,Keywords,Description
0,00:00:00.000,00:27:00.160,"Nam Bộ,thôn làng,miền Bắc,mặt không gian,kinh tế hàng hóa,truyền thống thương mại,cộng đồng dân cư,câu ca dao,tài liệu địa chỉ xưa ghi nhận lịch sử,Thống suất Nguyễn Hữu Cảnh thiết lập bộ máy hành chính,thông Bắc Nam Bộ ngày nay,mặt chính trị xã hội tất yếu,,chính quyền Đàng Trong,miền Nam đáp ứng nhu cầu,không gian làng xã miền Bắc,miền Trung,Tết Thanh Minh dịp con cháu,cấu trúc nông thôn,thôn ấp Tây Nam Bộ,thôn Ấp Tây Nam Bộ,phía Nam Á,làng Việt Nam Bộ,làng Việt Bắc Bộ,khu vực Bắc Bộ thành,gia đình người Việt Nam Bộ,đồng bằng Bắc Bộ,xứ Đồng Nai Gia Định,nông dân miền Bắc,dân Tây Nam Bộ", 
1,00:00:00.000,00:00:10.000, ,u
2,00:00:10.000,00:00:44.920,"sông Cửu Long,cánh đồng lúa vàng trù phú",Anh Đức
3,00:00:44.920,00:00:53.800,"sông Cửu Long,đồng bằng châu thổ,vùng đất nặng phù sa",ông
4,00:00:53.800,00:01:03.960,"sông Cửu Long,đồng bằng châu thổ,vùng đất nặng phù sa",dạ
5,00:01:03.960,00:01:18.600,"năm 1698,Nguyễn Hữu Cảnh thiết lập bộ máy hành chính,thế kỷ 17,xứ Đồng Nai Gia Định,trời Nam,vùng Tây Nam Bộ","đất phương Nam, vùng đất nặng phù sa của chín nhánh sông Cử Long bồi đắp nên những nhà vườn cây tránh xum xuê, những cánh đồng lúa vàng trù phú yên vui và nguồn tôm cá dạt dào trong mạch sống đồng bằng châu thổ, nơi thấm đẫm huyền thoại ba trăm năm khẩn hoang mở đất và những người anh hùng đánh giặc, giữ nước, khí phách hiên ngang cùng những người dân hồn hậu, chất phác, trọng nghĩa, khinh tài làm nên một truyền thống văn hóa, văn minh sông nước mang đậm ngân sách đất và người phương Nam."
6,00:01:18.600,00:01:34.520, ,"làm trai cho đáng, nên trai Phú Xuân Đã tại Đồng Nai, đã từng xứ Đồng Nai trong câu ca dao cổ có ý nghĩa bao hàm các vùng đất Nam Bộ rộng lớn, trong buổi đầu người Việt đến khẩn đất, mở rộng biên cương ở trời Nam, nhưng những cuộc di dân lẻ tẻ và tự phát trước thế kỷ 17 đã không tạo ra những điều kiện cần và đủ để hình thành nên các đơn vị làng xã chín thống của người Việt trên vùng đất mới."
7,00:01:34.520,00:01:44.280, ,"làm trai cho đáng, nên trai Phú Xuân Đã tại Đồng Nai, đã từng xứ Đồng Nai trong câu ca dao cổ có ý nghĩa bao hàm các vùng đất Nam Bộ rộng lớn, trong buổi đầu người Việt đến khẩn đất, mở rộng biên cương ở trời Nam, nhưng những cuộc di dân lẻ tẻ và tự phát trước thế kỷ 17 đã không tạo ra những điều kiện cần và đủ để hình thành nên các đơn vị làng xã chín thống của người Việt trên vùng đất mới."
8,00:01:44.280,00:02:33.800,"buổi đầu người Việt,Nam Bộ,Đồng Nai,trai Phú Xuân,xứ Đồng Nai,năm 1698,Nguyễn Hữu Cảnh thiết lập bộ máy hành chính,thế kỷ 17,xứ Đồng Nai Gia Định,trời Nam,vùng Tây Nam Bộ,cảnh hoàng hôn","làm trai cho đáng, nên trai Phú Xuân Đã tại Đồng Nai, đã từng xứ Đồng Nai trong câu ca dao cổ có ý nghĩa bao hàm các vùng đất Nam Bộ rộng lớn, trong buổi đầu người Việt đến khẩn đất, mở rộng biên cương ở trời Nam, nhưng những cuộc di dân lẻ tẻ và tự phát trước thế kỷ 17 đã không tạo ra những điều kiện cần và đủ để hình thành nên các đơn vị làng xã chín thống của người Việt trên vùng đất mới."
9,00:02:33.800,00:02:46.400,kênh rạch miền Tây Nam Bộ,"làm trai cho đáng, nên trai Phú Xuân Đã tại Đồng Nai, đã từng xứ Đồng Nai trong câu ca dao cổ có ý nghĩa bao hàm các vùng đất Nam Bộ rộng lớn, trong buổi đầu người Việt đến khẩn đất, mở rộng biên cương ở trời Nam, nhưng những cuộc di dân lẻ tẻ và tự phát trước thế kỷ 17 đã không tạo ra những điều kiện cần và đủ để hình thành nên các đơn vị làng xã chín thống của người Việt trên vùng đất mới."
