Scene number,Start,End,Keywords,Description
0,00:00:00.000,00:27:03.000,"Nam Bộ,Việt Nam,miền Bắc,phương Nam,Võ Trường Toản,Tây Nam Bộ,Trung Quốc,Văn Thánh miếu Vĩnh Long,Văn Thánh Miếu,Vi,mặt tư tưởng,Ngô Tùng Châu môn sinh,Nam Bộ thành Trung Hiếu,Đốc học Nguyễn Thông họp,thời loạn khi chiến tranh nhà Tây Sơn Nguyễn Ánh bùng nổ,bút tòng quân Việt học,tháng 9 năm Bính,Lê Bá Phẩm , Ngôn nhân tính danh sĩ,Gia Định , Biên Hòa , Định Tường nối thất thủ,Nhân Nghĩa , Lễ,miền Nam thời kỳ đầu,Phạm Ngọc Ẩn , Lê Quang Định,Đốc học Nguyễn Thông chủ xướng,thực chất Văn Thánh Miếu Vĩnh Long,sách Địa chỉ Bến Tre chép,Tuẩn Tiết , Nguyễn Thông Tỳ Địa Bình Thuận,nhóm Sơn cuối thế kỷ 18,Quốc triều Đăng khoa,cụ đồ Võ Trường Toản,Việt Nam thời phong kiến", 
1,00:00:00.000,00:00:10.000, ,"đất phương Nam, vùng đất nặng phù sa của chín nhánh sông Cử Long bồi đắp nên những nhà vườn cây tránh xum xuê, những cánh đồng lúa vàng trù phú yên vui và nguồn tôm cá dạt dào trong mạch sống đồng bằng châu thổ, nơi thấm đẫm huyền thoại ba trăm năm khẩn hoang mở đất và những người anh hùng đánh giặc, giữ nước, khí phách hiên ngang cùng những người dân hồn hậu, chất phác, trọng nghĩa, khinh tài làm nên một truyền thống văn hóa, văn minh sông nước mang đậm ngân sách đất và người phương Nam."
2,00:00:10.000,00:00:44.920,"sông Cửu Long,cánh đồng lúa vàng trù phú","đất phương Nam, vùng đất nặng phù sa của chín nhánh sông Cử Long bồi đắp nên những nhà vườn cây tránh xum xuê, những cánh đồng lúa vàng trù phú yên vui và nguồn tôm cá dạt dào trong mạch sống đồng bằng châu thổ, nơi thấm đẫm huyền thoại ba trăm năm khẩn hoang mở đất và những người anh hùng đánh giặc, giữ nước, khí phách hiên ngang cùng những người dân hồn hậu, chất phác, trọng nghĩa, khinh tài làm nên một truyền thống văn hóa, văn minh sông nước mang đậm ngân sách đất và người phương Nam."
3,00:00:44.920,00:00:53.800,"sông Cửu Long,đồng bằng châu thổ,vùng đất nặng phù sa","đất phương Nam, vùng đất nặng phù sa của chín nhánh sông Cử Long bồi đắp nên những nhà vườn cây tránh xum xuê, những cánh đồng lúa vàng trù phú yên vui và nguồn tôm cá dạt dào trong mạch sống đồng bằng châu thổ, nơi thấm đẫm huyền thoại ba trăm năm khẩn hoang mở đất và những người anh hùng đánh giặc, giữ nước, khí phách hiên ngang cùng những người dân hồn hậu, chất phác, trọng nghĩa, khinh tài làm nên một truyền thống văn hóa, văn minh sông nước mang đậm ngân sách đất và người phương Nam."
4,00:00:53.800,00:01:18.600,truyền thống hiếu học,"từ hơn 700 năm nay, Văn Miếu Quốc Tử Giám Thăng Long Hà Nội đã trở thành một trong những biểu tượng của đất đế đô ngàn năm văn hiến, của truyền thống hiếu học và trọng hiện tại của dân tộc Việt Nam."
5,00:01:18.600,00:01:34.320, ,"từ hơn 700 năm nay, Văn Miếu Quốc Tử Giám Thăng Long Hà Nội đã trở thành một trong những biểu tượng của đất đế đô ngàn năm văn hiến, của truyền thống hiếu học và trọng hiện tại của dân tộc Việt Nam."
6,00:01:34.320,00:01:45.120, ,"từ hơn 700 năm nay, Văn Miếu Quốc Tử Giám Thăng Long Hà Nội đã trở thành một trong những biểu tượng của đất đế đô ngàn năm văn hiến, của truyền thống hiếu học và trọng hiện tại của dân tộc Việt Nam."
7,00:01:45.120,00:01:57.200,"trường đại học,trang sử,Văn Miếu Quốc Tử Giám Thăng Long,truyền thống hiếu học,Hà Nội","từ hơn 700 năm nay, Văn Miếu Quốc Tử Giám Thăng Long Hà Nội đã trở thành một trong những biểu tượng của đất đế đô ngàn năm văn hiến, của truyền thống hiếu học và trọng hiện tại của dân tộc Việt Nam."
8,00:01:57.200,00:02:03.920,"trường đại học,trang sử,Văn Miếu Quốc Tử Giám Thăng Long,truyền thống hiếu học,Hà Nội","từ hơn 700 năm nay, Văn Miếu Quốc Tử Giám Thăng Long Hà Nội đã trở thành một trong những biểu tượng của đất đế đô ngàn năm văn hiến, của truyền thống hiếu học và trọng hiện tại của dân tộc Việt Nam."
9,00:02:03.920,00:02:10.720,"trường đại học,trang sử,Văn Miếu Quốc Tử Giám Thăng Long,truyền thống hiếu học,Hà Nội","từ hơn 700 năm nay, Văn Miếu Quốc Tử Giám Thăng Long Hà Nội đã trở thành một trong những biểu tượng của đất đế đô ngàn năm văn hiến, của truyền thống hiếu học và trọng hiện tại của dân tộc Việt Nam."
